1,Different
2,Different
3,14,C:\Users\Thong\Downloads\ImageSearch/flowers/3.png
4,Different
5,14,C:\Users\Thong\Downloads\ImageSearch/flowers/5.png
6,Different
7,14,C:\Users\Thong\Downloads\ImageSearch/flowers/7.png
8,Different
9,Different
10,Different
11,Different
12,Different
13,Different
14,Different
15,Different
16,Different
17,Different
18,Different
19,Different
20,Different
21,Different
22,Different
23,Different
24,13,C:\Users\Thong\Downloads\ImageSearch/flowers/24.png
25,Different
26,Different
27,0,C:\Users\Thong\Downloads\ImageSearch/flowers/27.png
28,Different
29,Different
30,Different
31,Different
32,Different
33,Different
34,Different
35,Different
36,Different
37,Different
38,Different
39,Different
40,13,C:\Users\Thong\Downloads\ImageSearch/flowers/40.png
41,Different
42,Different
43,Different
44,Different
45,Different
46,Different
47,Different
48,Different
49,Different
50,Different
51,Different
52,14,C:\Users\Thong\Downloads\ImageSearch/flowers/52.png
53,Different
54,Different
55,Different
56,Different
57,Different
58,Different
59,Different
60,Different
61,Different
62,Different
63,Different
64,Different
65,14,C:\Users\Thong\Downloads\ImageSearch/flowers/65.png
66,14,C:\Users\Thong\Downloads\ImageSearch/flowers/66.png
67,Different
68,Different
69,Different
70,Different
71,Different
72,Different
73,Different
74,Different
75,Different
76,Different
77,Different
78,Different
79,12,C:\Users\Thong\Downloads\ImageSearch/flowers/79.png
80,Different
81,Different
82,Different
83,Different
84,Different
85,Different
86,Different
87,Different
88,Different
89,Different
90,Different
91,Different
92,Different
93,Different
94,14,C:\Users\Thong\Downloads\ImageSearch/flowers/94.png
95,Different
96,Different
97,Different
98,Different
99,Different
100,Different
101,Different
102,Different
103,12,C:\Users\Thong\Downloads\ImageSearch/flowers/103.png
104,Different
105,Different
106,Different
107,Different
108,Different
109,Different
110,Different
111,14,C:\Users\Thong\Downloads\ImageSearch/flowers/111.png
112,Different
113,Different
114,Different
115,Different
116,Different
117,Different
118,Different
119,Different
120,Different
121,Different
122,Different
123,Different
124,Different
125,Different
126,Different
127,Different
128,Different
129,Different
130,Different
131,Different
132,Different
133,Different
134,Different
135,Different
136,Different
137,Different
138,Different
139,Different
140,14,C:\Users\Thong\Downloads\ImageSearch/flowers/140.png
141,Different
142,Different
143,Different
144,Different
145,Different
146,Different
147,Different
148,Different
149,Different
150,Different
151,Different
152,Different
153,Different
154,Different
155,Different
156,Different
157,Different
158,12,C:\Users\Thong\Downloads\ImageSearch/flowers/158.png
159,Different
160,Different
161,Different
162,Different
163,Different
164,Different
165,Different
166,Different
167,Different
168,Different
169,Different
170,Different
171,Different
172,Different
173,Different
174,Different
175,10,C:\Users\Thong\Downloads\ImageSearch/flowers/175.png
176,Different
177,Different
178,11,C:\Users\Thong\Downloads\ImageSearch/flowers/178.png
179,Different
180,Different
181,Different
182,Different
183,Different
184,Different
185,Different
186,Different
187,Different
188,Different
189,Different
190,Different
191,13,C:\Users\Thong\Downloads\ImageSearch/flowers/191.png
192,Different
193,Different
194,Different
195,Different
196,Different
197,Different
198,Different
199,Different
200,Different
201,Different
202,Different
203,10,C:\Users\Thong\Downloads\ImageSearch/flowers/203.png
204,Different
205,Different
206,Different
207,Different
208,Different
209,Different
210,Different
